Container Label,Screw Type Description,Diameter (mm),Length (mm),DIN Norm,ISO Norm,Type,Head Drive Type
M5x16 czarne walcowy imbus H4,Black Cylindrical (Socket Head Cap) Screw,5,16,912,4762,Screw,Hex
M5x8 ocynk walcowy niski imbus H4,Zinc-Plated Low Cylindrical (Socket Head Cap) Screw,5,8,912,4762,Screw,Hex
M5x12 srebrne kołnierz imbus H3,Silver Flanged Socket Cap Screw,5,12,912,4762,Screw,Hex
M5x16 srebrne kołnierz imbus H3,Silver Flanged Socket Cap Screw,5,16,912,4762,Screw,Hex
M5x10 nierdzewne stożek imbus H3,Stainless Steel Countersunk Head Socket Cap Screw,5,10,7991,10642,Screw,Hex
M5x16 nierdzewne walcowy imbus H4,Stainless Steel Cylindrical (Socket Head Cap) Screw,5,16,912,4762,Screw,Hex
M5x25 nierdzewne walec imbus H4,Stainless Steel Cylindrical (Socket Head Cap) Screw,5,25,912,4762,Screw,Hex
M5x30 srebrne walcowy imbus H4,Silver Cylindrical (Socket Head Cap) Screw,5,30,912,4762,Screw,Hex
M5x20 srebrne stożek imbus H3,Silver Countersunk Head Socket Cap Screw,5,20,7991,10642,Screw,Hex
M5 srebrne nakrętki 6-kątne,Silver Hex Nuts,5,N/A,934,4032,Nut,Hex
M5x8 czarne stożek imbus H3,Black Countersunk Head Socket Cap Screw,5,8,7991,10642,Screw,Hex
M5x6 srebrne stożek imbus H3,Silver Countersunk Head Socket Cap Screw,5,6,7991,10642,Screw,Hex
M5x16 czarne stożek imbus H3,Black Countersunk Head Socket Cap Screw,5,16,7991,10642,Screw,Hex
M5x10 czarne stożek imbus H3,Black Countersunk Head Socket Cap Screw,5,10,7991,10642,Screw,Hex
M3x14 kołnierz ocynk,Zinc-Plated Flanged Socket Cap Screw,3,14,,,Screw,Hex
M5x6 srebrne kołnierz imbus H3,Silver Flanged Socket Cap Screw,5,6,,,Screw,Hex
M5x8 srebrne walcowy imbus H4,Silver Cylindrical (Socket Head Cap) Screw,5,8,912,4762,Screw,Hex
M5x10 czarne walcowy imbus H4,Black Cylindrical (Socket Head Cap) Screw,5,10,912,4762,Screw,Hex
M5x8 srebrne nakrętki ericson imbus H3,Silver Ericson Hex Nut,5,8,,,Nut,
M5x12 srebrne stożkowy imbus H3,Silver Countersunk Socket Cap Screw,5,12,7991,10642,Screw,Hex
M5 srebrne nakrętki kwadrat,Silver Square Nuts,5,N/A,562,,Nut,
M5 srebrne nitonakrętki,Silver Rivet Nuts,5,N/A,,,Nut,
M5x20 czarne stożek imbus H3,Black Countersunk Head Socket Cap Screw,5,20,7991,10642,Screw,Hex
M5x8 czarne walcowy imbus H4,Black Cylindrical (Socket Head Cap) Screw,5,8,912,4762,Screw,Hex
M5 srebrne wkładki gwintowane,Silver Threaded Inserts,5,N/A,7243,7243,Other,
M5x36 stalowe kołki hartowane,Hardened Steel Pins,5,36,6325,8734,Other,
M5x25 szare walcowy imbus H4,Gray Cylindrical (Socket Head Cap) Screw,5,25,912,4762,Screw,Hex
M5 srebrne podkładki M5x6,Silver Washers,5,6,125,7089,Washer,
M5x6 czarna kulisty imbus,Black Button Head Socket Cap Screw,5,6,7380,7380,Screw,Hex
M5x6 czarne walcowy imbus,Black Cylindrical (Socket Head Cap) Screw,5,6,912,4762,Screw,Hex
M6 srebrne wkładki gwintowane,Silver Threaded Inserts,6,N/A,,,Other,
M6x20 nierdzewne stożek imbus H4,Stainless Steel Countersunk Head Socket Cap Screw,6,20,7991,10642,Screw,Hex
M5x10 srebrne ericson imbus H5,Silver Ericson Hex Nut,5,10,,,Nut,
M6x35 srebrne stożek imbus H4,Silver Countersunk Head Socket Cap Screw,6,35,7991,10642,Screw,Hex
M6x14 stalowe kulisty imbus,Hardened Steel Button Head Socket Cap Screw,6,14,7380,7380,Screw,Hex
M6x12 nierdzewne stożek imbus H4,Stainless Steel Countersunk Head Socket Cap Screw,6,12,7991,10642,Screw,Hex
M6 srebrne nakrętki 6-kątne,Silver Hex Nuts,6,N/A,934,4032,Nut,Hex
M6x36 stalowe kołki hartowane,Hardened Steel Pins,6,36,6325,8734,Other,
M6 srebrne podkładki,Silver Washers,6,N/A,125,7089,Washer,
M6 czarne podkładki,Black Washers,6,N/A,125,7089,Washer,
M6x14 nierdzewne stożek imbus H4,Stainless Steel Countersunk Head Socket Cap Screw,6,14,7991,10642,Screw,Hex
M6x25 srebrne stożek imbus H4,Silver Countersunk Head Socket Cap Screw,6,25,7991,10642,Screw,Hex
M8x12 czarne dociskowe imbus H4,Hexagon Socket Set Screws with Flat Point,8,12,913,4026,Screw,Hex
